wrestler_id,wrestler_name,brand,debut_year,years_active,total_matches,world_title_reigns,secondary_title_reigns,tag_title_reigns,total_title_reigns,current_champion,avg_matches_per_month,career_win_percentage,social_media_followers_millions,main_evented_ppv,age,weight_class,popularity_tier
1,Cody Rhodes,SmackDown,2007,18,980,4,2,0,6,1,3.2,0.69,4,20,39,Heavyweight,Main Eventer
2,Seth Rollins,RAW,2012,13,1180,5,2,2,9,1,4.3,0.65,3.6,21,39,Heavyweight,Main Eventer
3,Roman Reigns,SmackDown,2012,13,1025,6,1,1,8,0,3.3,0.66,4.9,33,40,Heavyweight,Main Eventer
4,Rhea Ripley,RAW,2021,4,290,3,1,0,4,0,4.6,0.73,3,13,29,Women's,Main Eventer
5,Becky Lynch,RAW,2013,12,640,5,3,0,8,1,3.7,0.68,4.3,16,38,Women's,Main Eventer
6,Charlotte Flair,SmackDown,2013,12,570,15,2,1,18,1,3.6,0.71,3.3,26,39,Women's,Main Eventer
7,LA Knight,RAW,2022,3,195,1,0,0,1,0,4.1,0.66,2,6,42,Heavyweight,Main Eventer
8,Gunther,RAW,2019,6,340,1,1,0,2,0,4.2,0.79,1.4,7,38,Heavyweight,Main Eventer
9,Randy Orton,SmackDown,2002,23,1870,14,4,2,20,0,3.9,0.63,5.4,46,45,Heavyweight,Main Eventer
10,The Rock,Executive,1996,25,350,10,2,0,12,0,1.5,0.75,18,35,52,Heavyweight,Main Eventer
11,John Cena,SmackDown,2002,21,1250,16,5,2,23,0,3.2,0.72,15,50,48,Heavyweight,Main Eventer
12,CM Punk,RAW,2005,17,680,3,1,0,4,0,3.1,0.67,3.8,15,46,Heavyweight,Main Eventer
13,Brock Lesnar,SmackDown,2002,20,280,10,1,0,11,0,2.1,0.78,4.2,25,47,Heavyweight,Main Eventer
14,Drew McIntyre,SmackDown,2007,16,980,3,1,1,5,0,3.3,0.59,2.6,12,40,Heavyweight,Main Eventer
15,AJ Styles,RAW,2016,9,810,2,1,1,4,0,3.8,0.6,2.3,13,47,Heavyweight,Mid-Carder
16,Kevin Owens,RAW,2014,11,920,1,3,1,5,0,4,0.57,2.1,9,41,Heavyweight,Mid-Carder
17,Sami Zayn,SmackDown,2013,12,750,0,3,1,4,1,3.7,0.55,1.8,5,40,Heavyweight,Mid-Carder
18,Jey Uso,RAW,2010,15,950,0,1,8,9,0,3.9,0.56,1.5,9,39,Heavyweight,Main Eventer
19,Jimmy Uso,SmackDown,2010,15,930,0,0,8,8,0,3.8,0.54,1.2,7,39,Heavyweight,Mid-Carder
20,Logan Paul,SmackDown,2022,3,50,1,0,0,1,0,1.9,0.76,26,4,30,Heavyweight,Mid-Carder
21,Damian Priest,SmackDown,2018,7,400,1,0,1,2,0,3.7,0.53,0.9,3,42,Heavyweight,Mid-Carder
22,Finn Balor,RAW,2014,11,720,1,1,2,4,1,3.6,0.58,2,6,43,Tag Team,Mid-Carder
23,JD McDonagh,RAW,2022,3,120,0,0,1,1,1,3.5,0.48,0.4,0,29,Tag Team,Mid-Carder
24,Dominik Mysterio,RAW,2020,5,220,0,1,0,1,1,3.8,0.45,0.7,1,27,Cruiserweight,Mid-Carder
25,IYO SKY,SmackDown,2022,3,200,1,1,0,2,0,4.3,0.64,1,4,33,Women's,Mid-Carder
26,Tiffany Stratton,SmackDown,2023,2,80,1,0,0,1,1,4.5,0.7,0.8,1,25,Women's,Mid-Carder
27,Bayley,SmackDown,2012,13,550,1,2,0,3,0,3.5,0.6,2.2,8,35,Women's,Mid-Carder
28,Jade Cargill,SmackDown,2023,2,45,0,0,0,0,0,2.8,0.85,1.5,1,31,Women's,Mid-Carder
29,Liv Morgan,RAW,2017,8,370,1,1,0,2,0,4,0.5,1.7,3,31,Women's,Mid-Carder
30,Naomi,SmackDown,2009,16,480,0,2,0,2,0,3.1,0.52,1.8,4,36,Women's,Mid-Carder
31,Nia Jax,RAW,2014,9,220,1,0,0,1,0,2.5,0.55,1.1,3,40,Women's,Mid-Carder
32,Asuka,RAW,2015,10,350,1,2,0,3,0,3.4,0.61,1.3,5,43,Women's,Mid-Carder
33,Solo Sikoa,SmackDown,2021,4,150,0,0,0,0,0,3.6,0.65,0.6,1,31,Heavyweight,Mid-Carder
34,Bron Breakker,SmackDown,2022,3,90,0,0,0,0,0,4,0.78,0.5,0,26,Heavyweight,Mid-Carder
35,Kofi Kingston,SmackDown,2006,19,1300,1,4,8,13,0,3.9,0.53,1.8,10,43,Tag Team,Mid-Carder
36,The Miz,RAW,2006,19,1100,2,4,2,8,0,3.5,0.49,3,12,44,Heavyweight,Mid-Carder
37,Shinsuke Nakamura,SmackDown,2016,9,580,0,2,0,2,0,3.6,0.54,2.5,5,45,Heavyweight,Mid-Carder
38,Sheamus,RAW,2009,16,950,1,3,2,6,0,3.4,0.57,2.1,15,46,Heavyweight,Mid-Carder
39,Montez Ford,RAW,2019,6,370,0,0,3,3,0,4,0.61,1.4,2,36,Tag Team,Mid-Carder
40,Chad Gable,RAW,2013,12,680,0,0,1,1,0,3.8,0.52,0.7,1,38,Heavyweight,Mid-Carder
41,Austin Theory,SmackDown,2019,6,350,0,2,0,2,0,3.9,0.49,1,2,28,Heavyweight,Mid-Carder
42,Tama Tonga,SmackDown,2024,1,30,0,0,0,0,0,3.5,0.6,0.3,0,42,Heavyweight,Mid-Carder
43,Tonga Loa,SmackDown,2024,1,25,0,0,0,0,0,3.2,0.55,0.2,0,40,Heavyweight,Mid-Carder
44,Jacob Fatu,SmackDown,2024,1,20,0,0,0,0,0,3.8,0.7,0.4,0,32,Heavyweight,Mid-Carder
45,Joe Gacy,SmackDown,2020,5,130,0,0,1,1,1,3,0.46,0.3,0,33,Tag Team,Jobber
46,Dexter Lumis,SmackDown,2020,5,110,0,0,1,1,1,2.8,0.44,0.2,0,39,Tag Team,Jobber
47,Xavier Woods,SmackDown,2010,15,820,0,1,6,7,0,3.3,0.52,1.3,2,39,Tag Team,Jobber
