wrestler_id,wrestler_name,brand,debut_year,years_active,total_matches,world_title_reigns,secondary_title_reigns,tag_title_reigns,total_title_reigns,current_champion,win_rate,finisher_popularity,social_media_followers_millions,main_evented_ppv,age,weight_class,popularity_tier
1,Jon Moxley,AEW,2018,7,75,5,2,1,8,0,0.72,3.45,4.02,5,25,Openweight,Main Eventer
2,Kenny Omega,AEW,2011,14,80,0,1,1,2,0,0.36,1.15,2.94,34,23,Junior Heavyweight,Main Eventer
3,Chris Jericho,AEW,2005,20,653,2,0,6,8,0,0.7,1.83,0.74,21,36,Heavyweight,Upper Midcard
4,CM Punk,AEW,2000,25,149,2,2,4,8,0,0.37,2.41,0.61,24,34,Heavyweight,Enhancement
5,Samoa Joe,AEW,2015,10,899,5,4,6,15,0,0.45,0.53,2.99,18,31,Heavyweight,Main Eventer
6,MJF,AEW,2005,20,439,2,3,5,10,0,0.43,1.91,3.03,4,25,Openweight,Main Eventer
7,Darby Allin,AEW,2018,7,596,5,1,1,7,0,0.48,4.64,3.11,14,27,Women's,Main Eventer
8,Thunder Rosa,AEW,1999,26,891,0,2,3,5,0,0.46,4.73,3.95,20,29,Cruiserweight,Main Eventer
9,Ricky Starks,AEW,2018,7,455,5,3,1,9,0,0.47,2.89,1.22,37,37,Junior Heavyweight,Upper Midcard
10,Hikaru Shida,AEW,2016,9,420,1,1,4,6,0,0.73,4.33,0.73,10,34,Junior Heavyweight,Main Eventer
11,Kazuchika Okada,NJPW,2017,8,444,3,4,3,10,0,0.84,4.33,0.1,7,24,Openweight,Main Eventer
12,Tetsuya Naito,NJPW,2006,19,398,0,2,3,5,0,0.35,3.67,3.25,32,42,Cruiserweight,Main Eventer
13,Will Ospreay,NJPW,2014,11,690,2,4,4,10,0,0.54,0.98,4.29,33,25,Heavyweight,Main Eventer
14,Hiroshi Tanahashi,NJPW,2017,8,550,0,0,2,2,0,0.77,1.68,0.31,36,32,Heavyweight,Main Eventer
15,Shingo Takagi,NJPW,2000,25,885,0,4,6,10,0,0.68,4.74,0.78,33,37,Openweight,Upper Midcard
16,Juice Robinson,NJPW,2011,14,602,6,1,5,12,0,0.85,3.32,2.0,33,28,Junior Heavyweight,Main Eventer
17,Jay White,NJPW,2001,24,280,0,2,0,2,0,0.47,1.26,0.37,40,29,Heavyweight,Midcard
18,Tama Tonga,NJPW,2005,20,82,6,2,0,8,0,0.49,2.53,2.45,36,24,Openweight,Upper Midcard
19,YOSHI-HASHI,NJPW,2013,12,853,3,3,1,7,0,0.68,1.9,1.88,3,29,Heavyweight,Upper Midcard
20,El Desperado,NJPW,1999,26,795,2,0,1,3,0,0.62,0.87,0.87,29,34,Cruiserweight,Upper Midcard
21,Samoa Joe ROH,ROH,2000,25,877,6,4,0,10,1,0.85,4.21,4.36,15,36,Cruiserweight,Main Eventer
22,Jay Lethal,ROH,2011,14,542,1,3,0,4,0,0.35,2.07,4.17,29,37,Women's,Main Eventer
23,Jonathan Gresham,ROH,2011,14,798,6,4,5,15,0,0.43,1.62,4.36,37,44,Openweight,Main Eventer
24,PCO,ROH,1999,26,108,0,4,3,7,0,0.78,0.96,4.33,5,32,Cruiserweight,Main Eventer
25,Kyle O'Reilly,ROH,2000,25,119,5,1,3,9,0,0.8,1.38,2.7,39,41,Heavyweight,Main Eventer
26,Matt Taven,ROH,2011,14,647,4,4,2,10,0,0.45,3.64,1.11,25,43,Cruiserweight,Enhancement
27,Vinny Marseglia,ROH,2018,7,518,2,0,0,2,0,0.85,4.98,0.38,13,31,Openweight,Main Eventer
28,Brody King,ROH,2006,19,407,0,1,2,3,0,0.57,2.81,1.4,33,26,Heavyweight,Upper Midcard
29,EC,ROH,2015,10,729,0,1,2,3,0,0.4,2.86,1.26,38,31,Cruiserweight,Upper Midcard
30,Dragon Lee ROH,ROH,2008,17,753,5,2,4,11,0,0.8,4.26,0.46,27,28,Women's,Main Eventer
31,Psycho Clown,AAA,1999,26,391,6,1,5,12,0,0.43,2.32,3.19,35,22,Heavyweight,Main Eventer
32,Pimpinela Escarlata,AAA,2001,24,757,1,4,0,5,0,0.64,0.91,0.62,19,24,Women's,Upper Midcard
33,El Hijo del Vikingo,AAA,1999,26,265,5,1,5,11,0,0.74,4.44,1.86,39,33,Cruiserweight,Main Eventer
34,Blue Demon Jr,AAA,2005,20,869,6,1,3,10,1,0.72,1.79,4.19,15,27,Women's,Main Eventer
35,Pagano,AAA,2003,22,160,3,0,6,9,0,0.45,4.61,1.61,14,44,Cruiserweight,Upper Midcard
36,Aero Star,AAA,1998,27,247,3,2,2,7,0,0.83,1.54,2.9,25,43,Openweight,Main Eventer
37,Taya Valkyrie,AAA,2008,17,168,2,1,4,7,0,0.48,0.72,1.98,20,22,Junior Heavyweight,Upper Midcard
38,Psycho Clown Jr,AAA,2017,8,168,3,4,1,8,0,0.7,0.21,4.17,34,38,Cruiserweight,Main Eventer
39,Sam Adonis,AAA,2009,16,121,5,2,4,11,0,0.77,3.65,1.39,19,35,Junior Heavyweight,Main Eventer
40,Laredo Kid,AAA,2008,17,763,2,4,1,7,0,0.68,2.02,3.38,11,34,Openweight,Main Eventer
41,Josh Alexander,Impact,2016,9,465,4,0,2,6,0,0.56,2.98,2.96,29,31,Junior Heavyweight,Main Eventer
42,Moose,Impact,2012,13,268,4,3,6,13,0,0.75,1.01,0.43,32,43,Openweight,Main Eventer
